Tallformatet viser til kolonnenummer:
0=Ts, 1=PowerA, 
2=PowerB, 3=PowerC, 4=PowerD 
22,22,22
-1,10.5,22.0
22,14.33333333333333,22.0
22,16.25,22.0
22,17.4,22.0
22,18.16666666666666,22.0
22,18.71428571428571,22.0
22,19.125,22.0
22,19.44444444444444,22.0
22,19.7,22.0
22,19.90909090909091,22.0
22,20.08333333333333,22.0
22,20.23076923076923,22.0
22,20.35714285714286,22.0
22,20.46666666666666,22.0
22,20.5625,22.0
22,20.64705882352941,22.0
22,20.72222222222222,22.0
22,20.78947368421053,22.0
22,20.85,22.0
22,20.90476190476191,22.0
22,21.0,22.5
23,21.04347826086957,22.25
22,21.08333333333333,22.125
22,21.12,22.0625
22,21.15384615384615,22.03125
22,21.18518518518518,22.015625
22,21.21428571428571,22.0078125
22,21.24137931034483,22.00390625
22,21.26666666666666,22.001953125
22,21.32258064516129,22.5009765625
23,21.34375,22.25048828125
22,21.42424242424243,23.125244140625
24,21.47058823529412,23.0626220703125
23,21.85714285714286,29.03131103515625
35,22.33333333333333,34.01565551757813
39,22.81081081081081,37.00782775878906
40,23.26315789473684,38.50391387939453
40,23.71794871794872,39.75195693969727
41,24.175,40.87597846984863
42,24.60975609756098,41.43798923492432
42,25.07142857142857,42.71899461746216
44,25.53488372093023,43.85949730873108
45,26.02272727272728,45.42974865436554
47,26.51111111111112,46.71487432718277
48,27.02173913043478,48.35743716359139
50,27.53191489361702,49.6787185817957
51,28.04166666666667,50.83935929089785
52,28.55102040816327,51.91967964544893
53,29.08,53.45983982272447
55,29.58823529411765,54.22991991136223
55,30.07692307692308,54.61495995568112
55,30.62264150943396,56.80747997784056
59,31.16666666666667,58.40373998892028
60,31.72727272727273,60.20186999446015
62,32.30357142857143,62.10093499723008
64,32.87719298245614,63.55046749861504
65,33.46551724137931,65.27523374930752
67,34.08474576271186,67.63761687465376
70,34.71666666666667,69.81880843732688
72,35.36065573770492,71.90940421866344
74,36.01612903225806,73.95470210933173
76,36.66666666666667,75.47735105466586
77,37.328125,77.23867552733293
79,38.0,79.11933776366647
81,38.6969696969697,81.55966888183324
84,39.43283582089552,84.77983444091661
88,40.19117647058823,87.8899172204583
91,40.97101449275363,90.94495861022915
94,41.78571428571429,94.47247930511457
98,42.60563380281691,97.23623965255729
100,43.40277777777778,98.61811982627865
100,44.17808219178082,99.30905991313933
100,44.93243243243244,99.65452995656968
100,45.66666666666667,99.82726497828484
100,46.38157894736842,99.91363248914242
100,47.07792207792209,99.9568162445712
100,47.75641025641026,99.9784081222856
100,48.41772151898734,99.9892040611428
100,49.0625,99.9946020305714
100,49.69135802469136,99.9973010152857
100,50.30487804878049,99.99865050764285
100,50.90361445783134,99.99932525382143
100,51.48809523809524,99.99966262691073
100,52.05882352941177,99.99983131345537
100,52.61627906976745,99.99991565672769
100,53.16091954022989,99.99995782836386
100,53.69318181818183,99.99997891418193
100,54.21348314606742,99.99998945709097
100,54.72222222222222,99.99999472854549
100,55.21978021978023,99.99999736427275
100,55.70652173913043,99.99999868213639
100,56.18279569892474,99.99999934106819
