Tallformatet viser til kolonnenummer:
0=PowerA, 1=PowerB, 2=Integrert_Avvik 
0,0,0
2.8,2.8,0
2.8,2.8,-0.1195878982543947
2.8,2.8,-0.23442363739013672
2.8,2.8,-0.3436880111694335
0.0,0.0,-0.3436880111694335
2.8,2.8,-0.45592403411865223
2.8,2.8,-0.5669717788696287
2.8,2.8,-0.6711511611938474
2.8,2.8,-0.7846078872680662
0.0,0.0,-0.7846078872680662
2.8,2.8,-0.9055633544921875
2.8,2.8,-1.030752182006836
2.8,2.8,-1.1498155593872066
2.8,2.8,-1.2645797729492188
2.8,2.8,-1.3779602050781248
2.8,2.8,-1.4934082031249998
2.8,2.8,-1.6105155944824217
2.8,2.8,-1.7263593673706052
2.8,2.8,-1.8439636230468748
2.8,2.8,-1.9578037261962888
2.8,2.8,-2.0730600357055664
2.8,2.8,-2.193391799926758
2.0999999999999996,2.0999999999999996,-2.303020477294922
2.0999999999999996,2.0999999999999996,-2.391848087310791
2.0999999999999996,2.0999999999999996,-2.512624740600586
2.0999999999999996,2.0999999999999996,-2.61501145362854
2.0999999999999996,2.0999999999999996,-2.7105796337127686
2.0999999999999996,2.0999999999999996,-2.80464506149292
2.0999999999999996,2.0999999999999996,-2.8925507068634033
2.0999999999999996,2.0999999999999996,-2.9880194664001465
2.0999999999999996,2.0999999999999996,-3.0824954509735107
2.0999999999999996,2.0999999999999996,-3.1743435859680185
2.0999999999999996,2.0999999999999996,-3.267268896102906
2.0999999999999996,2.0999999999999996,-3.3607850074768084
2.0999999999999996,2.0999999999999996,-3.456874608993531
2.0999999999999996,2.0999999999999996,-3.5491819381713867
2.0999999999999996,2.0999999999999996,-3.657529592514039
2.0999999999999996,2.0999999999999996,-3.7488977909088126
2.0999999999999996,2.0999999999999996,-3.8393089771270743
2.0999999999999996,2.0999999999999996,-3.944596767425538
2.0999999999999996,2.0999999999999996,-4.033426523208618
2.0999999999999996,2.0999999999999996,-4.127302408218384
2.0999999999999996,2.0999999999999996,-4.227433919906616
2.0999999999999996,2.0999999999999996,-4.3209228515625
2.0999999999999996,2.0999999999999996,-4.419478654861448
2.0999999999999996,2.0999999999999996,-4.519141674041748
2.0999999999999996,2.0999999999999996,-4.61403465270996
2.0999999999999996,2.0999999999999996,-4.72681403160095
2.0999999999999996,2.0999999999999996,-4.854083061218262
2.0999999999999996,2.0999999999999996,-4.947379589080812
2.0999999999999996,2.0999999999999996,-5.042371988296509
2.0999999999999996,2.0999999999999996,-5.142505645751951
2.0999999999999996,2.0999999999999996,-5.240704536437988
2.0999999999999996,2.0999999999999996,-5.337847709655762
5.6,5.6,-5.608639717102051
5.6,5.6,-5.86815166473389
5.6,5.6,-6.13527202606201
5.6,5.6,-6.403672218322754
7.0,7.0,-6.743461608886714
7.0,7.0,-7.063002109527586
6.3,6.3,-7.41995048522949
5.6,5.6,-7.691606521606442
5.6,5.6,-7.988462448120114
5.6,5.6,-8.281190872192386
5.6,5.6,-8.53520584106445
7.0,7.0,-8.882376670837399
7.0,7.0,-9.22847700119019
8.399999999999999,8.399999999999999,-9.61906385421753
8.399999999999999,8.399999999999999,-10.025649547576904
9.799999999999999,9.799999999999999,-10.543004512786865
9.799999999999999,9.799999999999999,-11.086274623870843
13.299999999999999,13.299999999999999,-11.741586685180657
14.7,14.7,-12.661384105682384
16.099999999999998,16.099999999999998,-13.469166278839122
16.099999999999998,16.099999999999998,-14.27315378189087
15.399999999999999,15.399999999999999,-15.072219371795644
15.399999999999999,15.399999999999999,-15.88225793838501
15.399999999999999,15.399999999999999,-16.71077537536622
15.399999999999999,15.399999999999999,-17.48396635055542
15.399999999999999,15.399999999999999,-18.273611545562755
15.399999999999999,15.399999999999999,-19.09368419647218
15.399999999999999,15.399999999999999,-19.905794620513927
18.9,18.9,-20.916727781295776
21.7,21.7,-22.359808444976807
21.7,21.7,-23.531359434127808
24.5,24.5,-24.822443723678603
26.599999999999998,26.599999999999998,-26.248047113418576
24.5,24.5,-27.558032035827647
24.5,24.5,-28.836157083511363
24.5,24.5,-30.216520786285397
24.5,24.5,-31.49363613128663
26.599999999999998,26.599999999999998,-33.04160261154176
25.9,25.9,-34.49637174606325
28.0,28.0,-36.498849391937256
28.0,28.0,-38.178288936614976
28.0,28.0,-39.63828802108765
26.599999999999998,26.599999999999998,-41.06591176986696
28.0,28.0,-42.586955547332764
28.0,28.0,-44.12999105453491
28.0,28.0,-45.64899396896364
27.299999999999997,27.299999999999997,-47.1717526912689
30.799999999999997,30.799999999999997,-49.17740511894226
32.199999999999996,32.199999999999996,-51.02250313758848
33.599999999999994,33.599999999999994,-53.166038751602194
33.599999999999994,33.599999999999994,-55.215023279190085
33.599999999999994,33.599999999999994,-57.070270776748636
33.599999999999994,33.599999999999994,-58.99564766883848
33.599999999999994,33.599999999999994,-60.97208809852602
33.599999999999994,33.599999999999994,-62.8034403324127
32.199999999999996,32.199999999999996,-64.67273211479187
30.799999999999997,30.799999999999997,-66.48540282249449
27.299999999999997,27.299999999999997,-68.22355723381044
27.299999999999997,27.299999999999997,-69.89443826675415
28.0,28.0,-71.59695672988892
28.0,28.0,-73.25111436843872
28.0,28.0,-74.84263467788696
28.0,28.0,-76.4753155708313
27.299999999999997,27.299999999999997,-78.11646986007693
30.799999999999997,30.799999999999997,-79.84875249862674
32.199999999999996,32.199999999999996,-81.72522783279418
32.199999999999996,32.199999999999996,-83.5230460166931
35.0,35.0,-85.52390241622923
35.0,35.0,-87.85309696197508
35.0,35.0,-89.85669517517088
34.3,34.3,-91.95110058784483
37.8,37.8,-94.1039273738861
37.8,37.8,-96.60023570060729
37.8,37.8,-98.9011719226837
37.8,37.8,-101.17193007469176
34.3,34.3,-103.22478079795836
34.3,34.3,-105.25803995132445
34.3,34.3,-107.53923702239989
37.8,37.8,-110.05422639846796
37.8,37.8,-112.11130475997923
37.8,37.8,-115.0398392677307
37.8,37.8,-117.22666788101195
37.8,37.8,-119.60634517669676
37.8,37.8,-121.76062679290774
37.8,37.8,-123.98266744613646
37.8,37.8,-126.1016855239868
37.8,37.8,-128.27074718475342
37.8,37.8,-130.89563417434692
37.8,37.8,-133.05677795410156
37.8,37.8,-135.40269804000854
37.8,37.8,-137.63618421554565
37.8,37.8,-139.80050802230835
37.8,37.8,-142.1357936859131
37.8,37.8,-144.36405277252197
37.8,37.8,-146.8445897102356
37.8,37.8,-149.40981578826904
37.8,37.8,-152.251446723938
37.8,37.8,-154.6559591293335
34.3,34.3,-156.88070631027222
34.3,34.3,-159.082181930542
34.3,34.3,-161.1199505329132
37.8,37.8,-163.60092520713806
37.8,37.8,-166.03157305717468
37.8,37.8,-168.5198347568512
37.8,37.8,-170.8869206905365
37.8,37.8,-173.66177105903625
37.8,37.8,-176.03485655784607
37.8,37.8,-178.48202252388
34.3,34.3,-180.70368552207947
35.0,35.0,-182.96988987922668
35.0,35.0,-185.266838312149
33.599999999999994,33.599999999999994,-187.4924509525299
33.599999999999994,33.599999999999994,-189.91040444374084
35.0,35.0,-192.20619654655457
35.0,35.0,-195.03779864311218
33.599999999999994,33.599999999999994,-197.26145434379583
33.599999999999994,33.599999999999994,-199.4322497844696
33.599999999999994,33.599999999999994,-202.18337512016296
34.3,34.3,-204.34069085121155
37.8,37.8,-206.96628594398499
37.8,37.8,-209.3614513874054
37.8,37.8,-211.86169934272766
37.8,37.8,-214.6916787624359
37.8,37.8,-217.18475556373596
37.8,37.8,-219.62965559959412
37.8,37.8,-222.12035059928894
37.8,37.8,-224.53027033805847
37.8,37.8,-226.96124005317688
37.8,37.8,-229.59439253807068
37.8,37.8,-232.3953139781952
37.8,37.8,-235.21773600578308
39.199999999999996,39.199999999999996,-237.81176066398615
38.5,38.5,-240.67336297035217
38.5,38.5,-243.3425579071045
38.5,38.5,-246.1583433151245
44.099999999999994,44.099999999999994,-249.23966717720032
47.599999999999994,47.599999999999994,-252.66965699195862
47.599999999999994,47.599999999999994,-255.9786856174469
43.4,43.4,-259.70190453529364
